product_id,category_id,supplier_id,product_name,product_sku,product_description,price,product_quantity
16344873,00000004,148994,Leather Wallet y5f,FYO-42952179,leather wallet y5f for fashion.,54.73,21
54299453,00000004,604103,Leather Wallet cuk,DVP-20408973,leather wallet cuk for fashion.,31.56,13
28662173,00000003,750840,Premium Blender QLD,HQZ-24400841,premium blender qld for home & kitchen.,634.29,33
34633304,00000008,353624,Organic Honey CQB,WDH-28621521,organic honey cqb for groceries.,46.85,63
33153025,00000001,537127,Cooking 101 VnV,IWO-37426559,cooking 101 vnv for books.,23.01,77
19689248,00000008,805919,Organic Honey Z6Z,MYE-79703589,organic honey z6z for groceries.,23.3,78
46049923,00000007,985087,Camping Tent PrM,WCI-29968039,camping tent prm for sports & outdoors.,59.25,45
30330557,00000004,204573,Summer Dress Goa,XIJ-88830343,summer dress goa for fashion.,57.96,97
34905633,00000005,989706,Hydrating Face Cream 5D0,AAP-66417571,hydrating face cream 5d0 for beauty & personal care.,32.17,86
89459842,00000004,781298,Leather Wallet BiO,MPV-66235217,leather wallet bio for fashion.,92.57,74
50664727,00000004,416466,Summer Dress EZ8,VWR-05566122,summer dress ez8 for fashion.,49.89,25
16644519,00000004,394898,Summer Dress lUK,ECK-98277722,summer dress luk for fashion.,86.63,20
98182531,00000006,244065,Puzzle 500 Pieces GTK,JRV-61740412,puzzle 500 pieces gtk for toys & games.,43.08,99
42535037,00000008,758704,Organic Honey JCl,VWR-27274568,organic honey jcl for groceries.,42.89,12
75031159,00000001,864154,Cooking 101 isD,TDI-12715194,cooking 101 isd for books.,20.8,97
59704374,00000008,807106,Organic Honey sh0,XTU-32951720,organic honey sh0 for groceries.,46.13,51
54323056,00000002,762808,Smartphone X12 6dH,FVC-44367101,smartphone x12 6dh for electronics.,666.98,14
10688163,00000007,147150,Yoga Mat ITg,WOQ-21217584,yoga mat itg for sports & outdoors.,61.63,22
21699915,00000001,553391,The Great Adventure eVQ,HWE-81128661,the great adventure evq for books.,22.95,38
02957989,00000007,758355,Yoga Mat p6C,XLI-74752289,yoga mat p6c for sports & outdoors.,27.78,98
90669708,00000007,432447,Camping Tent VEn,QWO-08614230,camping tent ven for sports & outdoors.,73.89,14
98220112,00000004,305893,Leather Wallet qKx,SXA-39017352,leather wallet qkx for fashion.,85.96,96
77489036,00000005,802515,Hydrating Face Cream Z52,GYO-46273148,hydrating face cream z52 for beauty & personal care.,59.65,25
95426356,00000004,479674,Summer Dress 42A,YRK-25035601,summer dress 42a for fashion.,14.03,16
33068954,00000003,705618,Luxury Sheets Set YKk,KGP-44811687,luxury sheets set ykk for home & kitchen.,326.25,27
90561816,00000002,654870,Smartphone X12 LOh,XJW-73582145,smartphone x12 loh for electronics.,599.25,92
25555768,00000001,163292,Cooking 101 DpN,QWL-02290189,cooking 101 dpn for books.,34.68,39
58862309,00000007,673600,Yoga Mat ScT,NQW-85930858,yoga mat sct for sports & outdoors.,48.11,51
20135877,00000006,713115,Puzzle 500 Pieces c7L,HTM-83686976,puzzle 500 pieces c7l for toys & games.,42.67,16
01920557,00000006,523562,Puzzle 500 Pieces 1K4,KQR-76907105,puzzle 500 pieces 1k4 for toys & games.,24.03,17
55829399,00000006,687768,Puzzle 500 Pieces dCY,FQH-68932285,puzzle 500 pieces dcy for toys & games.,38.38,59
85766908,00000004,516212,Leather Wallet qdo,IZT-30662884,leather wallet qdo for fashion.,17.47,81
68388837,00000007,414140,Camping Tent BC6,EVZ-01524623,camping tent bc6 for sports & outdoors.,49.96,44
75753667,00000007,159766,Camping Tent ro0,FFZ-04079318,camping tent ro0 for sports & outdoors.,43.02,45
63559394,00000005,984603,Eau de Toilette Jh4,DCD-89272303,eau de toilette jh4 for beauty & personal care.,82.19,5
22470995,00000005,133003,Hydrating Face Cream bcO,DCC-94305289,hydrating face cream bco for beauty & personal care.,57.03,18
68890420,00000007,494673,Yoga Mat Imr,FMX-28715938,yoga mat imr for sports & outdoors.,14.65,22
00900938,00000001,414652,Cooking 101 2gt,MWA-43689920,cooking 101 2gt for books.,18.3,9
85193299,00000008,999875,Whole Grain Bread 0v7,SQS-68042703,whole grain bread 0v7 for groceries.,21.58,86
67048893,00000003,889430,Luxury Sheets Set wRk,PDV-06712127,luxury sheets set wrk for home & kitchen.,352.99,44
95946902,00000001,983719,The Great Adventure uf9,GNY-54353430,the great adventure uf9 for books.,13.61,16
68195170,00000008,737231,Organic Honey NNp,ZSU-26717853,organic honey nnp for groceries.,23.42,78
76304527,00000004,137739,Summer Dress wz9,IBS-89328023,summer dress wz9 for fashion.,36.18,88
61467476,00000003,826075,Premium Blender oBY,MNB-15067686,premium blender oby for home & kitchen.,863.25,96
90685872,00000005,425294,Hydrating Face Cream IQW,OXV-25939002,hydrating face cream iqw for beauty & personal care.,50.39,76
94964963,00000008,167923,Whole Grain Bread xRL,OFU-01428197,whole grain bread xrl for groceries.,12.72,83
60089009,00000004,617999,Summer Dress ZHy,CJS-79292861,summer dress zhy for fashion.,79.43,82
76165349,00000007,191262,Camping Tent lGw,PXL-42737684,camping tent lgw for sports & outdoors.,66.98,93
57105660,00000007,525971,Camping Tent gcK,ELY-04151658,camping tent gck for sports & outdoors.,75.76,32
91360181,00000004,816085,Summer Dress NXP,KHU-54982574,summer dress nxp for fashion.,35.25,46
59600805,00000003,362438,Premium Blender FGr,WAB-22903087,premium blender fgr for home & kitchen.,715.97,21
76789299,00000003,178004,Luxury Sheets Set 6vQ,ASP-97581592,luxury sheets set 6vq for home & kitchen.,490.11,6
71618881,00000003,988122,Premium Blender YIV,DME-65392562,premium blender yiv for home & kitchen.,511.94,50
57437142,00000008,637156,Whole Grain Bread DBC,ZKA-75176353,whole grain bread dbc for groceries.,37.99,23
97938700,00000007,020154,Camping Tent 6Ff,PQF-53826844,camping tent 6ff for sports & outdoors.,84.09,96
46393241,00000003,582705,Premium Blender QB0,BUW-50495907,premium blender qb0 for home & kitchen.,827.84,52
62582532,00000006,371592,Puzzle 500 Pieces y4b,JCN-65897623,puzzle 500 pieces y4b for toys & games.,42.38,68
86413992,00000002,615587,Smartphone X12 lLN,OCN-31229908,smartphone x12 lln for electronics.,75.49,39
45478708,00000004,646146,Summer Dress 0vs,PST-29404051,summer dress 0vs for fashion.,94.66,87
18244205,00000006,189917,Action Figure seS,LFS-72391085,action figure ses for toys & games.,35.81,73
12735606,00000002,525406,Smartphone X12 9Wh,AVO-84184055,smartphone x12 9wh for electronics.,630.64,85
77245844,00000005,627423,Eau de Toilette mBL,BDC-08578394,eau de toilette mbl for beauty & personal care.,55.93,95
01355717,00000006,666220,Puzzle 500 Pieces iX6,DSC-23481647,puzzle 500 pieces ix6 for toys & games.,12.89,65
24114119,00000002,749466,Laptop Pro 15 Uyo,HIC-80275778,laptop pro 15 uyo for electronics.,285.73,3
95635827,00000004,910707,Summer Dress WEC,YJK-19914033,summer dress wec for fashion.,61.45,95
06501371,00000008,220356,Organic Honey VIu,TPL-73692795,organic honey viu for groceries.,13.52,12
73338673,00000001,671387,The Great Adventure Mc0,DLQ-95478133,the great adventure mc0 for books.,5.87,44
81924613,00000002,943927,Smartphone X12 UIo,YEF-82136070,smartphone x12 uio for electronics.,856.88,82
16487613,00000004,824682,Leather Wallet Hu8,RHL-89057061,leather wallet hu8 for fashion.,17.49,73
65446568,00000004,175242,Leather Wallet dAL,NTD-08529757,leather wallet dal for fashion.,69.16,77
47952768,00000008,186092,Whole Grain Bread 2nN,EBA-73397005,whole grain bread 2nn for groceries.,9.86,16
89372449,00000003,716221,Premium Blender LQa,GJI-81777319,premium blender lqa for home & kitchen.,440.05,71
15792529,00000004,227230,Leather Wallet jyv,ZBD-34973169,leather wallet jyv for fashion.,70.55,27
22790615,00000008,514136,Whole Grain Bread dZa,SFV-67915817,whole grain bread dza for groceries.,35.75,26
39252742,00000003,248940,Premium Blender Tqj,GWE-11849497,premium blender tqj for home & kitchen.,416.62,61
21399953,00000001,689428,The Great Adventure vmM,VEW-05243821,the great adventure vmm for books.,48.7,49
16949692,00000003,807295,Luxury Sheets Set QX5,TPM-09315762,luxury sheets set qx5 for home & kitchen.,466.36,11
89753364,00000004,977163,Leather Wallet grZ,UBI-20217679,leather wallet grz for fashion.,79.92,88
04315066,00000001,218412,Cooking 101 g4M,CJM-03852512,cooking 101 g4m for books.,22.18,17
00924228,00000001,979148,The Great Adventure YEM,KWP-05653134,the great adventure yem for books.,39.23,10
84242056,00000001,704143,Cooking 101 PBS,XLH-17499987,cooking 101 pbs for books.,37.55,0
90208496,00000005,752135,Hydrating Face Cream uY5,QFB-82220181,hydrating face cream uy5 for beauty & personal care.,17.86,69
38475943,00000002,382384,Laptop Pro 15 sTW,SPK-33392924,laptop pro 15 stw for electronics.,754.68,10
51272377,00000002,021401,Laptop Pro 15 pxY,EAR-93051286,laptop pro 15 pxy for electronics.,720.07,36
27106420,00000004,721954,Summer Dress Ea2,VXP-21469950,summer dress ea2 for fashion.,76.09,76
83521990,00000006,581883,Action Figure pYI,PDS-24053044,action figure pyi for toys & games.,22.61,88
33291478,00000002,524282,Laptop Pro 15 uyd,CTX-58013984,laptop pro 15 uyd for electronics.,406.19,62
14529201,00000002,606224,Smartphone X12 Jmx,GFG-80974859,smartphone x12 jmx for electronics.,509.03,24
86874196,00000001,643189,The Great Adventure UsV,LHC-32178411,the great adventure usv for books.,27.55,8
74965952,00000005,889425,Eau de Toilette 5gG,YCN-44759583,eau de toilette 5gg for beauty & personal care.,39.92,91
12358105,00000002,459277,Smartphone X12 HJz,KGL-21825678,smartphone x12 hjz for electronics.,179.35,2
71357392,00000003,670628,Luxury Sheets Set TOm,CUZ-80186916,luxury sheets set tom for home & kitchen.,922.47,42
61007164,00000008,043691,Whole Grain Bread Jl0,CIT-08985027,whole grain bread jl0 for groceries.,48.26,48
22906821,00000006,896680,Puzzle 500 Pieces 8rP,EJB-81467095,puzzle 500 pieces 8rp for toys & games.,45.81,80
57724291,00000001,801154,The Great Adventure 3d7,XRC-44058253,the great adventure 3d7 for books.,27.75,10
84410169,00000003,867635,Luxury Sheets Set IkA,SOG-22540047,luxury sheets set ika for home & kitchen.,326.18,25
76983267,00000001,808927,Cooking 101 oNq,BAF-38533465,cooking 101 onq for books.,26.17,78
30339593,00000006,361970,Action Figure mBW,REV-21555422,action figure mbw for toys & games.,11.36,16
35991495,00000002,026354,Smartphone X12 x4N,FNZ-14483363,smartphone x12 x4n for electronics.,850.79,34
65934950,00000007,917821,Yoga Mat ebd,DZC-94039373,yoga mat ebd for sports & outdoors.,37.44,19
02355535,00000001,986312,Cooking 101 eav,OOB-27386925,cooking 101 eav for books.,33.1,33
44985813,00000007,612011,Yoga Mat Frg,GQE-28312446,yoga mat frg for sports & outdoors.,92.63,33
69781941,00000006,312321,Puzzle 500 Pieces 6eB,VHZ-32812696,puzzle 500 pieces 6eb for toys & games.,19.85,67
69889622,00000001,050447,The Great Adventure sJI,PAH-56018368,the great adventure sji for books.,23.76,10
90716496,00000001,988602,The Great Adventure r9s,DQP-03404470,the great adventure r9s for books.,12.52,2
29237240,00000007,667703,Yoga Mat X26,TIB-89564610,yoga mat x26 for sports & outdoors.,76.84,74
68264812,00000008,556073,Organic Honey tkm,UIA-73554758,organic honey tkm for groceries.,48.4,87
95552198,00000008,124859,Organic Honey WOY,BHT-33661149,organic honey woy for groceries.,37.48,65
56179491,00000001,851204,The Great Adventure nlN,OFP-96260393,the great adventure nln for books.,12.28,58
45875503,00000001,530539,The Great Adventure SqY,MYW-66043591,the great adventure sqy for books.,28.42,8
70715827,00000007,808500,Camping Tent 2Yy,YOB-52818487,camping tent 2yy for sports & outdoors.,48.33,69
85584977,00000004,286773,Leather Wallet 6k9,NBA-92260958,leather wallet 6k9 for fashion.,72.65,53
74049637,00000008,278888,Organic Honey lrM,ZVH-46069089,organic honey lrm for groceries.,18.33,88
54984423,00000008,755380,Organic Honey J3k,OEP-52185066,organic honey j3k for groceries.,17.13,7
99581562,00000001,123894,Cooking 101 REM,QAD-01375616,cooking 101 rem for books.,46.38,73
80921875,00000002,770778,Laptop Pro 15 VCK,YUS-03252613,laptop pro 15 vck for electronics.,905.78,21
56477979,00000007,708644,Camping Tent SOM,OXV-42784713,camping tent som for sports & outdoors.,22.73,27
62270044,00000004,489850,Leather Wallet 6uW,RMS-95908662,leather wallet 6uw for fashion.,18.13,82
12236949,00000007,338650,Camping Tent CUU,CBY-53127147,camping tent cuu for sports & outdoors.,19.52,57
81915450,00000002,869147,Smartphone X12 1Kc,GQB-33376285,smartphone x12 1kc for electronics.,209.87,77
38685858,00000005,514487,Eau de Toilette siK,GTP-52494961,eau de toilette sik for beauty & personal care.,63.27,29
10627095,00000004,362846,Summer Dress eRH,QJE-47760571,summer dress erh for fashion.,78.61,77
68596143,00000004,806749,Leather Wallet Zb9,BDT-71280929,leather wallet zb9 for fashion.,56.87,99
67690961,00000004,576911,Leather Wallet 509,JTA-20017803,leather wallet 509 for fashion.,41.31,67
88980579,00000003,659592,Luxury Sheets Set VO9,SOY-41316429,luxury sheets set vo9 for home & kitchen.,800.43,10
59609288,00000005,736107,Eau de Toilette E5I,HYU-62431766,eau de toilette e5i for beauty & personal care.,66.23,23
32201138,00000008,003210,Organic Honey Rca,IRB-19418025,organic honey rca for groceries.,20.67,59
51333953,00000008,757199,Organic Honey UzL,XNW-89982135,organic honey uzl for groceries.,42.87,57
28955179,00000006,051031,Action Figure PQC,DFK-24546534,action figure pqc for toys & games.,13.66,70
34370531,00000003,130906,Premium Blender Lme,CWD-98159561,premium blender lme for home & kitchen.,57.47,38
00668356,00000005,876151,Hydrating Face Cream oCO,NKN-06580321,hydrating face cream oco for beauty & personal care.,67.97,88
42909673,00000001,590875,Cooking 101 5Hc,FBI-64533089,cooking 101 5hc for books.,42.56,90
85345003,00000007,012363,Yoga Mat KfL,OAY-97466989,yoga mat kfl for sports & outdoors.,38.43,76
64062315,00000002,059756,Laptop Pro 15 Vhd,VXG-35074252,laptop pro 15 vhd for electronics.,832.06,62
71539545,00000007,713033,Camping Tent 7W1,LFT-21143909,camping tent 7w1 for sports & outdoors.,14.74,38
35630053,00000005,382436,Hydrating Face Cream IQ2,AYT-97695789,hydrating face cream iq2 for beauty & personal care.,93.95,44
07905369,00000007,607515,Yoga Mat 5lj,WAH-00667726,yoga mat 5lj for sports & outdoors.,27.63,36
51884522,00000002,444197,Laptop Pro 15 oaR,GTQ-83318516,laptop pro 15 oar for electronics.,441.79,86
57085125,00000005,195478,Eau de Toilette rjd,BBM-88880886,eau de toilette rjd for beauty & personal care.,70.46,92
79848307,00000003,411857,Premium Blender Stl,BRG-21496137,premium blender stl for home & kitchen.,777.16,25
99482458,00000003,568974,Premium Blender IBT,ISX-98766241,premium blender ibt for home & kitchen.,379.13,89
83230618,00000006,435271,Action Figure yti,XTD-29411984,action figure yti for toys & games.,42.42,53
55720164,00000004,355067,Leather Wallet nUk,MUQ-22654977,leather wallet nuk for fashion.,15.6,95
01225408,00000005,818519,Eau de Toilette vjx,CVB-70940394,eau de toilette vjx for beauty & personal care.,58.9,4
78871615,00000003,313791,Premium Blender bFr,LST-58870965,premium blender bfr for home & kitchen.,528.25,19
71891798,00000005,062072,Eau de Toilette 5xF,BDW-59253219,eau de toilette 5xf for beauty & personal care.,53.85,85
16526565,00000001,583729,Cooking 101 028,NRY-01103700,cooking 101 028 for books.,48.75,89
92481249,00000002,641980,Smartphone X12 mPy,LTB-29736022,smartphone x12 mpy for electronics.,150.2,14
06579305,00000008,474730,Whole Grain Bread VZf,SWM-51828357,whole grain bread vzf for groceries.,21.32,86
85321035,00000007,390905,Camping Tent RQ6,QCD-90710294,camping tent rq6 for sports & outdoors.,64.58,80
64138904,00000007,183259,Yoga Mat 3Mt,WYB-06800513,yoga mat 3mt for sports & outdoors.,68.94,6
55338457,00000007,508971,Camping Tent va5,UEO-24015293,camping tent va5 for sports & outdoors.,26.25,25
07095949,00000006,844684,Action Figure 6yt,MVI-13224306,action figure 6yt for toys & games.,44.9,85
83593080,00000007,376008,Camping Tent 7Hv,PAK-83230762,camping tent 7hv for sports & outdoors.,95.53,67
14314613,00000008,333763,Whole Grain Bread J1V,DIM-81729149,whole grain bread j1v for groceries.,41.24,83
70403434,00000007,599594,Yoga Mat Dp9,KRK-35619035,yoga mat dp9 for sports & outdoors.,75.05,58
28735466,00000001,204096,The Great Adventure YK4,BQA-85769749,the great adventure yk4 for books.,47.79,34
98667995,00000004,227967,Leather Wallet Ijs,KFQ-95513228,leather wallet ijs for fashion.,70.48,98
77747682,00000002,135264,Laptop Pro 15 WID,WBE-95624975,laptop pro 15 wid for electronics.,95.74,19
34871417,00000001,440350,Cooking 101 AMK,YPE-60523885,cooking 101 amk for books.,49.1,39
85078595,00000002,757280,Smartphone X12 WPn,VFX-17225453,smartphone x12 wpn for electronics.,383.34,87
35869124,00000006,016346,Puzzle 500 Pieces UAD,GCE-92728472,puzzle 500 pieces uad for toys & games.,33.2,51
50593588,00000001,198461,The Great Adventure Gvd,YWN-93506491,the great adventure gvd for books.,13.45,68
64610108,00000006,506966,Puzzle 500 Pieces pPb,OPS-54135047,puzzle 500 pieces ppb for toys & games.,32.5,25
32759893,00000006,725491,Action Figure h3p,KGJ-78549166,action figure h3p for toys & games.,16.84,50
34036319,00000001,438830,Cooking 101 ZdL,GXL-31682284,cooking 101 zdl for books.,38.19,24
63166214,00000005,322564,Hydrating Face Cream MBu,CHE-12724041,hydrating face cream mbu for beauty & personal care.,95.59,71
85410094,00000007,225610,Camping Tent 9LC,LNG-99415054,camping tent 9lc for sports & outdoors.,19.42,40
30303567,00000005,696790,Eau de Toilette OzN,GWW-06810404,eau de toilette ozn for beauty & personal care.,24.96,55
66951063,00000002,465212,Laptop Pro 15 mgo,XOM-74759648,laptop pro 15 mgo for electronics.,794.28,38
37474610,00000001,352448,The Great Adventure by6,HRW-57165205,the great adventure by6 for books.,46.23,49
36193499,00000008,356213,Whole Grain Bread Jvc,QAU-03609569,whole grain bread jvc for groceries.,16.76,26
73480194,00000006,906901,Action Figure ryr,QAS-06067486,action figure ryr for toys & games.,36.59,98
95776453,00000005,174547,Hydrating Face Cream VPz,KYX-40560464,hydrating face cream vpz for beauty & personal care.,22.99,91
61381111,00000008,660929,Organic Honey cfT,IDX-58224571,organic honey cft for groceries.,21.14,57
79914735,00000001,073646,Cooking 101 h7M,KGP-01105445,cooking 101 h7m for books.,23,91
58838647,00000005,902637,Eau de Toilette B3N,RHD-93263701,eau de toilette b3n for beauty & personal care.,24.99,39
52102873,00000002,003431,Laptop Pro 15 j8m,RFW-83532106,laptop pro 15 j8m for electronics.,625.23,1
56014250,00000007,824607,Camping Tent 672,NIS-17685961,camping tent 672 for sports & outdoors.,44.08,67
56817777,00000001,935243,The Great Adventure 0Yp,MLE-19905661,the great adventure 0yp for books.,24.41,64
89827538,00000006,488316,Action Figure d7l,HDZ-23194612,action figure d7l for toys & games.,9.36,49
97944144,00000005,244187,Eau de Toilette U3N,DZW-11498070,eau de toilette u3n for beauty & personal care.,61.79,73
18921675,00000004,975486,Leather Wallet 0vX,FLL-59305394,leather wallet 0vx for fashion.,67.05,62
99633105,00000002,643759,Smartphone X12 CNi,ISZ-53483799,smartphone x12 cni for electronics.,956.5,94
40643932,00000005,854416,Eau de Toilette Ejj,LJX-34655303,eau de toilette ejj for beauty & personal care.,78.99,88
38898926,00000002,105200,Laptop Pro 15 IqB,UTN-58233409,laptop pro 15 iqb for electronics.,882.72,97
25154504,00000005,213401,Eau de Toilette xzQ,QEZ-81650546,eau de toilette xzq for beauty & personal care.,88.9,45
57616887,00000003,670538,Luxury Sheets Set oAY,ZAW-33676454,luxury sheets set oay for home & kitchen.,926.48,63
45056694,00000003,655647,Premium Blender Smi,IOX-38705171,premium blender smi for home & kitchen.,375.4,1
23807662,00000002,457616,Smartphone X12 Cym,BJW-05995589,smartphone x12 cym for electronics.,198.69,67
61145517,00000004,182698,Leather Wallet D51,LCX-82847101,leather wallet d51 for fashion.,50.76,98
19714736,00000008,897602,Whole Grain Bread B6p,DHO-18249763,whole grain bread b6p for groceries.,5.86,77
63390787,00000006,692590,Action Figure zg9,ZGP-86282082,action figure zg9 for toys & games.,31.71,38
96534941,00000003,781468,Luxury Sheets Set Bl4,OEV-83982534,luxury sheets set bl4 for home & kitchen.,484.88,3
42699570,00000001,731999,Cooking 101 1N8,PXD-99301932,cooking 101 1n8 for books.,33.04,58
73391150,00000002,381009,Laptop Pro 15 NIC,VRJ-50391762,laptop pro 15 nic for electronics.,992.15,6
89751259,00000002,781223,Laptop Pro 15 A8B,VAW-82366757,laptop pro 15 a8b for electronics.,161.93,98
47808325,00000003,452725,Premium Blender Bzh,JLY-71413227,premium blender bzh for home & kitchen.,318.25,43
63117526,00000006,614882,Action Figure Vc4,KCB-86394647,action figure vc4 for toys & games.,12.73,86
71146883,00000004,200270,Leather Wallet 8hc,CWX-76886218,leather wallet 8hc for fashion.,98.22,89
51095261,00000001,698707,Cooking 101 L9x,FGV-49371397,cooking 101 l9x for books.,48.49,22
91748358,00000005,928257,Eau de Toilette dk1,NVU-54271716,eau de toilette dk1 for beauty & personal care.,56.08,2
23086306,00000001,470498,The Great Adventure HMF,FMD-87881326,the great adventure hmf for books.,45.73,27
66912896,00000005,532643,Hydrating Face Cream oGs,DTF-54763348,hydrating face cream ogs for beauty & personal care.,58.74,94
42034354,00000005,698814,Eau de Toilette 5fv,UES-73199252,eau de toilette 5fv for beauty & personal care.,46.96,2
36999512,00000006,354871,Puzzle 500 Pieces Cd4,ZXX-07043079,puzzle 500 pieces cd4 for toys & games.,10.27,64
32321055,00000005,299205,Hydrating Face Cream Adc,QZL-18615386,hydrating face cream adc for beauty & personal care.,17.75,84
17572222,00000005,972242,Eau de Toilette dis,MZY-08906082,eau de toilette dis for beauty & personal care.,87.9,97
05533451,00000004,499377,Summer Dress aaB,WPH-28826968,summer dress aab for fashion.,82.75,61
12118829,00000007,141869,Camping Tent E2r,EUH-14373166,camping tent e2r for sports & outdoors.,62.52,59
13491690,00000001,475073,The Great Adventure W25,MHX-75712386,the great adventure w25 for books.,26.61,98
92164717,00000005,515530,Eau de Toilette jTB,XNB-77930789,eau de toilette jtb for beauty & personal care.,53.97,44
89553796,00000006,206282,Puzzle 500 Pieces NSM,QZC-70817427,puzzle 500 pieces nsm for toys & games.,5.69,85
99181946,00000005,723217,Eau de Toilette zDi,RVT-37890051,eau de toilette zdi for beauty & personal care.,62.36,15
09695486,00000005,532254,Hydrating Face Cream Vxf,BUB-84178973,hydrating face cream vxf for beauty & personal care.,84.33,85
09954907,00000003,825088,Luxury Sheets Set dkV,FIV-78214660,luxury sheets set dkv for home & kitchen.,444.09,44
94424175,00000002,373081,Smartphone X12 zuT,UPE-11868578,smartphone x12 zut for electronics.,468.08,11
86826658,00000006,691551,Action Figure 36g,BHO-53593659,action figure 36g for toys & games.,49.92,36
75946515,00000008,153126,Whole Grain Bread Es7,XTJ-34311973,whole grain bread es7 for groceries.,35.53,73
35845621,00000005,944947,Eau de Toilette oCO,DBR-23523372,eau de toilette oco for beauty & personal care.,30.24,38
45800148,00000002,771565,Smartphone X12 WAm,WZH-07630854,smartphone x12 wam for electronics.,434.71,14
53601713,00000006,650035,Action Figure pi2,MQT-49757902,action figure pi2 for toys & games.,18.05,12
89702343,00000004,908083,Summer Dress oYr,DDH-65518875,summer dress oyr for fashion.,85.28,63
76953491,00000006,926563,Action Figure IDM,SRN-79048414,action figure idm for toys & games.,47.74,76
09996528,00000005,027129,Eau de Toilette lix,XTT-06385019,eau de toilette lix for beauty & personal care.,80.75,62
65471670,00000006,164734,Puzzle 500 Pieces mMJ,VQZ-87570736,puzzle 500 pieces mmj for toys & games.,22.44,70
51300031,00000001,028832,Cooking 101 fT9,PTQ-18633794,cooking 101 ft9 for books.,47.21,40
46911365,00000005,623183,Hydrating Face Cream 46X,ARU-67554662,hydrating face cream 46x for beauty & personal care.,28.32,15
94220883,00000006,911054,Action Figure CsP,EXG-88299783,action figure csp for toys & games.,11.97,25
68689711,00000008,191757,Organic Honey iNc,BTE-02239476,organic honey inc for groceries.,46.3,5
58035769,00000003,847456,Premium Blender mCb,RGF-63111894,premium blender mcb for home & kitchen.,966.84,55
03362846,00000001,244461,The Great Adventure 5zf,OVC-20262540,the great adventure 5zf for books.,34.62,12
12847038,00000001,543200,Cooking 101 Ttm,NXF-50150155,cooking 101 ttm for books.,8.45,75
38825812,00000003,604206,Premium Blender LWl,LFK-54728482,premium blender lwl for home & kitchen.,827.86,58
38351514,00000004,526007,Leather Wallet LNN,BXZ-14049466,leather wallet lnn for fashion.,11.94,97
51251537,00000004,880824,Leather Wallet Vnx,RDK-68575914,leather wallet vnx for fashion.,90.86,8
36102105,00000002,686409,Smartphone X12 50V,KGS-93048848,smartphone x12 50v for electronics.,176.61,64
46277374,00000005,739461,Hydrating Face Cream jKg,UWS-39341197,hydrating face cream jkg for beauty & personal care.,34.21,1
45060444,00000005,770223,Eau de Toilette lrH,NFA-34305625,eau de toilette lrh for beauty & personal care.,94.8,39
36741581,00000002,267306,Smartphone X12 SKt,MDR-92330409,smartphone x12 skt for electronics.,150.38,7
67782029,00000003,564095,Premium Blender Ml3,FHT-38179518,premium blender ml3 for home & kitchen.,944.1,4
